60	0.0000000017811239451312185
90	0.000000001645172281156332
115	0.0000000015195976911565942
135	0.000000001403608101970585
165	0.0000000012964718987023307
185	0.0000000011975133099937405
215	0.0000000011061081455352206
245	0.0000000010216798589284677
270	0.0000000008716644110999918
290	0.0000000008716644110999918
320	0.0000000008051310137804679
340	0.0000000007436760536467544
370	0.0000000006344805015839591
400	0.0000000005860511487667385
425	0.0000000005
445	0.0000000005
475	0.00000000042658392620863985
495	0.00000000036394769219915735
525	0.00000000036394769219915735
555	0.00000000031050847094578015
580	0.0000000002649158453141851
605	0.00000000024469504592387445
630	0.00000000022601768281801205
650	0.0000000001645172281156332
680	0.00000000015195976911565972
710	0.00000000012964718987023335
735	0.00000000012964718987023335
765	0.00000000010216798589284698
785	0.00000000008716644110999937
815	0.00000000008051310137804679
835	0.0000000000686911897941632
860	0.00000000005860511487667397
890	0.00000000005
905	0.000000000046183542859369325
